split_type,split_id,n_train,n_test,mean_max_train_similarity,n,positive_fraction,brier,balanced_accuracy,roc_auc,average_precision
random,19,361,91,0.38095932600614196,91,0.4065934065934066,0.1301451741311284,0.8313313313313313,0.8913913913913915,0.8441544515941799
random,20,361,91,0.4229437867068402,91,0.4065934065934066,0.17107431697711112,0.7444944944944945,0.8178178178178178,0.7600287214075259
random,21,361,91,0.38070323933609085,91,0.4065934065934066,0.16377261511908672,0.7722722722722722,0.8298298298298299,0.7782642830555007
random,22,361,91,0.39608249347564845,91,0.4065934065934066,0.18477248934456847,0.7317317317317318,0.7917917917917918,0.7613644464718083
random,23,361,91,0.4097342941809903,91,0.4065934065934066,0.1379088976950683,0.8043043043043043,0.8693693693693694,0.8504100750154893
random,24,361,91,0.3671398295170134,91,0.4065934065934066,0.20853701810248887,0.6769269269269269,0.7602602602602604,0.6721786936542413
scaffold,0,376,76,0.34392013037329416,76,0.40789473684210525,0.15037328009887044,0.825448028673835,0.8458781362007168,0.780187776630138
scaffold,1,374,78,0.32919678378059725,78,0.3974358974358974,0.14736297942755128,0.7913520933424845,0.8647906657515443,0.833124307664027
scaffold,2,321,131,0.3553782623112767,131,0.40458015267175573,0.17793796127994063,0.7117803580067731,0.7989840348330913,0.7473456810498538
scaffold,3,372,80,0.35350215937757046,80,0.425,0.16709923473821314,0.7627877237851662,0.8363171355498721,0.777190347302628
scaffold,4,369,83,0.364858839392325,83,0.3614457831325301,0.1459760046554793,0.7556603773584906,0.8591194968553458,0.8264846028498676
scaffold,5,325,127,0.3274092285303164,127,0.3858267716535433,0.21397518715055985,0.6817111459968603,0.7278911564625851,0.6322185533823035
scaffold,6,376,76,0.3572742520247698,76,0.39473684210526316,0.13924360850999642,0.818840579710145,0.8884057971014493,0.8311116022438299
scaffold,7,367,85,0.3918089928154611,85,0.3411764705882353,0.1305370328970133,0.7995689655172413,0.8774630541871921,0.8129156642721254
scaffold,8,365,87,0.3541696106754404,87,0.42528735632183906,0.16736693754945314,0.7683783783783784,0.821081081081081,0.751419603614988
scaffold,9,370,82,0.33723514056412235,82,0.43902439024390244,0.17899505060908938,0.7475845410628019,0.8121980676328503,0.7785100659063764
scaffold,10,317,135,0.36073140254208436,135,0.35555555555555557,0.18367561968858903,0.6954022988505747,0.7823275862068966,0.6578536019409316
scaffold,11,373,79,0.3669548546827847,79,0.4050632911392405,0.18587340882468942,0.7267287234042553,0.7978723404255319,0.6471919402563046
scaffold,12,368,84,0.33206737293694505,84,0.30952380952380953,0.19196733942920183,0.6803713527851458,0.789787798408488,0.661074335937851
scaffold,13,373,79,0.3492585833897449,79,0.3924050632911392,0.12793950933628542,0.8464381720430108,0.8931451612903226,0.8155131605189301
scaffold,14,377,75,0.37821124497762976,75,0.4,0.18317123842512215,0.7222222222222222,0.8044444444444444,0.7594717957316907
scaffold,15,367,85,0.3550238333418716,85,0.4470588235294118,0.1424181994059575,0.8121500559910414,0.8756998880179171,0.8760144729051887
scaffold,16,365,87,0.33985952575769374,87,0.4367816091954023,0.24294255989658473,0.687701396348013,0.7277121374865736,0.6993874865684692
scaffold,17,322,130,0.338629285837346,130,0.36153846153846153,0.20289197519297836,0.706485516534222,0.7646757241732889,0.6194353700237709
scaffold,18,365,87,0.3493837460514875,87,0.40229885057471265,0.2081331817825757,0.7074175824175823,0.7917582417582418,0.6827656973244859
scaffold,19,325,127,0.3197031187193723,127,0.3937007874015748,0.19888715817324706,0.7001298701298702,0.7618181818181818,0.7214647608261155
scaffold,20,372,80,0.32542328683015465,80,0.4625,0.2356908726122792,0.6288497800125707,0.7366436203645507,0.7122508337796846
scaffold,21,371,81,0.344440622992067,81,0.2839506172839506,0.18554663746254044,0.6664167916041979,0.7653673163418291,0.6102627580951345
scaffold,22,371,81,0.32856671334945836,81,0.37037037037037035,0.15987964158023357,0.7588235294117647,0.8431372549019608,0.7803952637912654
scaffold,23,364,88,0.3364178624042703,88,0.38636363636363635,0.19646066862106995,0.6917211328976035,0.80119825708061,0.7155303657414969
scaffold,24,320,132,0.3199738434028539,132,0.3560606060606061,0.1813650205849849,0.7653316645807259,0.7894868585732165,0.7027303779348697
