split_type,split_id,similarity_bin,n,positive_fraction,brier,balanced_accuracy,roc_auc,average_precision
random,23,0.50-0.70,15,0.5333333333333333,0.08146334045544897,0.8571428571428572,1.0,1.0
random,23,>=0.70,9,0.0,0.006964945081785965,1.0,,
random,24,<0.30,45,0.4444444444444444,0.2866578200233334,0.595,0.614,0.5626646032311307
random,24,0.30-0.50,27,0.4444444444444444,0.20091247985983815,0.65,0.75,0.7936824450059745
random,24,0.50-0.70,10,0.4,0.04229523078604303,0.9166666666666667,1.0,1.0
random,24,>=0.70,9,0.1111111111111111,0.02551972024449852,1.0,1.0,1.0
scaffold,0,<0.30,42,0.5714285714285714,0.21126755364653346,0.7638888888888888,0.7453703703703703,0.7907195169095322
scaffold,0,0.30-0.50,20,0.15,0.10677203781180458,0.9117647058823529,0.9019607843137255,0.5333333333333333
scaffold,0,0.50-0.70,11,0.36363636363636365,0.0372635148992065,1.0,1.0,1.0
scaffold,0,>=0.70,3,0.0,0.0032642047459823524,1.0,,
scaffold,1,<0.30,42,0.42857142857142855,0.1838465662528568,0.7569444444444444,0.7962962962962962,0.7942311013773639
scaffold,1,0.30-0.50,26,0.4230769230769231,0.13550733866249443,0.7757575757575758,0.896969696969697,0.8795167251049605
scaffold,1,0.50-0.70,7,0.14285714285714285,0.007061759376543706,1.0,1.0,1.0
scaffold,1,>=0.70,3,0.3333333333333333,0.0667111639555824,1.0,1.0,1.0
scaffold,2,<0.30,54,0.5185185185185185,0.23111813977255954,0.6126373626373627,0.6950549450549451,0.7440910133043549
scaffold,2,0.30-0.50,59,0.4067796610169492,0.169723542179221,0.7398809523809524,0.8166666666666667,0.7717518901950122
scaffold,2,0.50-0.70,13,0.07692307692307693,0.06124975095282199,1.0,1.0,1.0
scaffold,2,>=0.70,5,0.0,0.003911525798657477,1.0,,
scaffold,3,<0.30,37,0.4864864864864865,0.16871303933547896,0.7032163742690059,0.8128654970760234,0.7966428565277672
scaffold,3,0.30-0.50,31,0.41935483870967744,0.2161723030746011,0.7457264957264957,0.7564102564102565,0.7208265495926529
scaffold,3,0.50-0.70,9,0.2222222222222222,0.030727594259162556,1.0,1.0,1.0
scaffold,3,>=0.70,3,0.3333333333333333,0.04922219333345151,1.0,1.0,1.0
scaffold,4,<0.30,38,0.3684210526315789,0.16612261481932447,0.7619047619047619,0.8660714285714286,0.8337512538664611
scaffold,4,0.30-0.50,30,0.43333333333333335,0.1761422921286372,0.7104072398190044,0.8144796380090498,0.8266756190669233
